feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_default__AND__has_maxItems,has_default,has_maxItems,1,0.0105263,1,0,0
has_default__AND__has_maximum,has_default,has_maximum,4,0.0421053,0.5,0,1
has_default__AND__has_oneOf,has_default,has_oneOf,3,0.0315789,0.333333,0,1
has_default__AND__has_minItems,has_default,has_minItems,8,0.0842105,0.25,0,0.8
has_maximum__AND__has_minItems,has_maximum,has_minItems,10,0.105263,0.2,0,0.727273
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,5,0.0526316,0.2,0,1
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,5,0.0526316,0.2,0.0714286,0.666667
has_default__AND__has_minimum,has_default,has_minimum,11,0.115789,0.181818,0,1
has_default__AND__has_pattern,has_default,has_pattern,7,0.0736842,0.142857,0,0.8
has_maximum__AND__has_required,has_maximum,has_required,16,0.168421,0.125,0,0.85
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,8,0.0842105,0.125,0.0625,0.545455
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,8,0.0842105,0.125,0.0625,0.545455
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,8,0.0842105,0.125,0,1
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,8,0.0842105,0.125,0.0344828,0.7
has_enum__AND__has_maximum,has_enum,has_maximum,17,0.178947,0.117647,0.0178571,0.863636
has_minItems__AND__has_minimum,has_minItems,has_minimum,18,0.189474,0.111111,0,0.875
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,9,0.0947368,0.111111,0,0.75
has_items__AND__has_maximum,has_items,has_maximum,19,0.2,0.105263,0.015873,0.807692
has_maximum__AND__has_minimum,has_maximum,has_minimum,19,0.2,0.105263,0.015873,0.807692
has_maximum__AND__has_properties,has_maximum,has_properties,19,0.2,0.105263,0.015873,0.807692
has_maximum__AND__has_type,has_maximum,has_type,19,0.2,0.105263,0.015873,0.807692
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,10,0.105263,0.1,0,0.785714
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,10,0.105263,0.1,0.0357143,0.785714
has_maximum__AND__has_pattern,has_maximum,has_pattern,10,0.105263,0.1,0.0227273,0.785714
has_enum__AND__has_minItems,has_enum,has_minItems,23,0.242105,0.0869565,0.021978,0.6875
has_enum__AND__has_maxItems,has_enum,has_maxItems,12,0.126316,0.0833333,0.0487805,0.6875
has_items__AND__has_maxItems,has_items,has_maxItems,12,0.126316,0.0833333,0.0487805,0.6875
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,12,0.126316,0.0833333,0.0487805,0.6875
has_maxItems__AND__has_properties,has_maxItems,has_properties,12,0.126316,0.0833333,0.0487805,0.6875
has_maxItems__AND__has_required,has_maxItems,has_required,12,0.126316,0.0833333,0.0487805,0.6875
has_maxItems__AND__has_type,has_maxItems,has_type,12,0.126316,0.0833333,0.0487805,0.6875
has_minimum__AND__has_required,has_minimum,has_required,28,0.294737,0.0714286,0,0.923077
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,14,0.147368,0.0714286,0.0243902,0.85
has_enum__AND__has_minimum,has_enum,has_minimum,29,0.305263,0.0689655,0.00961538,0.928571
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,15,0.157895,0.0666667,0.028169,0.545455
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,15,0.157895,0.0666667,0.028169,0.545455
has_minItems__AND__has_pattern,has_minItems,has_pattern,15,0.157895,0.0666667,0.0266667,0.619048
has_default__AND__has_enum,has_default,has_enum,32,0.336842,0.0625,0,0.907407
has_items__AND__has_minItems,has_items,has_minItems,32,0.336842,0.0625,0.0168067,0.469388
has_items__AND__has_minimum,has_items,has_minimum,32,0.336842,0.0625,0.00862069,0.893617
has_minItems__AND__has_properties,has_minItems,has_properties,32,0.336842,0.0625,0.0168067,0.469388
has_minItems__AND__has_required,has_minItems,has_required,32,0.336842,0.0625,0.0168067,0.469388
has_minItems__AND__has_type,has_minItems,has_type,32,0.336842,0.0625,0.0168067,0.469388
has_minimum__AND__has_properties,has_minimum,has_properties,33,0.347368,0.0606061,0.0336134,0.857143
has_minimum__AND__has_type,has_minimum,has_type,33,0.347368,0.0606061,0.0336134,0.857143
has_default__AND__has_required,has_default,has_required,35,0.368421,0.0571429,0,0.912281
has_default__AND__has_items,has_default,has_items,36,0.378947,0.0555556,0,0.966667
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,19,0.2,0.0526316,0.0361446,0.821429
has_minimum__AND__has_pattern,has_minimum,has_pattern,19,0.2,0.0526316,0.0116279,0.892857
has_default__AND__has_properties,has_default,has_properties,39,0.410526,0.0512821,0,0.892308
