feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_additionalProperties,852,971,0,0,3213,2906,0,0,0,0,0.467361,0,true
has_allOf,42,1781,0,0,153,5966,0,0,0,0,0.0230389,0,true
has_anyOf,92,1731,0,0,396,5723,0,0,0,0,0.0504663,0,true
has_boolean_schema,825,998,0,0,3094,3025,0,0,0,0,0.452551,0,true
has_const,19,1804,0,0,72,6047,0,0,0,0,0.0104224,0,true
has_default,485,1338,0,0,1550,4569,0,0,0,0,0.266045,0,true
has_defs,471,1352,0,0,1678,4441,0,0,0,0,0.258365,0,true
has_enum,808,1015,0,0,2841,3278,0,0,0,0,0.443225,0,true
has_exclusiveMinimum,9,1814,0,0,47,6072,0,0,0,0,0.00493692,0,true
has_items,990,833,0,0,3677,2442,0,0,0,0,0.543061,0,true
has_maxItems,90,1733,0,0,441,5678,0,0,0,0,0.0493692,0,true
has_maxLength,252,1571,0,0,1322,4797,0,0,0,0,0.138234,0,true
has_maxProperties,10,1813,0,0,36,6083,0,0,0,0,0.00548546,0,true
has_maximum,111,1712,0,0,589,5530,0,0,0,0,0.0608886,0,true
has_minItems,227,1596,0,0,1012,5107,0,0,0,0,0.12452,0,true
has_minLength,313,1510,0,0,1625,4494,0,0,0,0,0.171695,0,true
has_minProperties,29,1794,0,0,104,6015,0,0,0,0,0.0159078,0,true
has_minimum,302,1521,0,0,1458,4661,0,0,0,0,0.165661,0,true
has_not,20,1803,0,0,73,6046,0,0,0,0,0.0109709,0,true
has_oneOf,182,1641,0,0,566,5553,0,0,0,0,0.0998354,0,true
has_pattern,512,1311,0,0,2570,3549,0,0,0,0,0.280856,0,true
has_patternProperties,119,1704,0,0,368,5751,0,0,0,0,0.065277,0,true
has_ref,442,1381,0,0,1552,4567,0,0,0,0,0.242457,0,true
has_required,1365,458,0,0,4625,1494,0,0,0,0,0.748766,0,true
large_enum,267,1556,0,0,930,5189,0,0,0,0,0.146462,0,true
many_required,827,996,0,0,2816,3303,0,0,0,0,0.453648,0,true
many_properties,1268,555,0,0,4421,1698,0,0,0,0,0.695557,0,true
deep_schema,338,1485,0,0,1096,5023,0,0,0,0,0.185409,0,true
has_contains,1,1822,0,0,2,6117,0,0,0,0,0.000548546,0,false
has_content,2,1821,0,0,4,6115,0,0,0,0,0.00109709,0,false
has_if_then_else,4,1819,0,0,13,6106,0,0,0,0,0.00219419,0,false
has_multipleOf,9,1814,0,0,18,6101,0,0,0,0,0.00493692,0,false
has_properties,1819,4,0,0,6117,2,0,0,0,0,0.997806,0,false
has_propertyNames,3,1820,0,0,13,6106,0,0,0,0,0.00164564,0,false
has_type,1823,0,0,0,6119,0,0,0,0,0,1,0,false
