feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_additionalProperties,852,971,0,0,0,0,0,0.467361,0
has_allOf,42,1781,0,0,0,0,0,0.0230389,0
has_anyOf,92,1731,0,0,0,0,0,0.0504663,0
has_boolean_schema,825,998,0,0,0,0,0,0.452551,0
has_const,19,1804,0,0,0,0,0,0.0104224,0
has_contains,1,1822,0,0,0,0,0,0.000548546,0
has_content,2,1821,0,0,0,0,0,0.00109709,0
has_default,485,1338,0,0,0,0,0,0.266045,0
has_defs,471,1352,0,0,0,0,0,0.258365,0
has_enum,808,1015,0,0,0,0,0,0.443225,0
has_exclusiveMinimum,9,1814,0,0,0,0,0,0.00493692,0
has_if_then_else,4,1819,0,0,0,0,0,0.00219419,0
has_items,990,833,0,0,0,0,0,0.543061,0
has_maxItems,90,1733,0,0,0,0,0,0.0493692,0
has_maxLength,252,1571,0,0,0,0,0,0.138234,0
has_maxProperties,10,1813,0,0,0,0,0,0.00548546,0
has_maximum,111,1712,0,0,0,0,0,0.0608886,0
has_minItems,227,1596,0,0,0,0,0,0.12452,0
has_minLength,313,1510,0,0,0,0,0,0.171695,0
has_minProperties,29,1794,0,0,0,0,0,0.0159078,0
has_minimum,302,1521,0,0,0,0,0,0.165661,0
has_multipleOf,9,1814,0,0,0,0,0,0.00493692,0
has_not,20,1803,0,0,0,0,0,0.0109709,0
has_oneOf,182,1641,0,0,0,0,0,0.0998354,0
has_pattern,512,1311,0,0,0,0,0,0.280856,0
has_patternProperties,119,1704,0,0,0,0,0,0.065277,0
has_properties,1819,4,0,0,0,0,0,0.997806,0
has_propertyNames,3,1820,0,0,0,0,0,0.00164564,0
has_ref,442,1381,0,0,0,0,0,0.242457,0
has_required,1365,458,0,0,0,0,0,0.748766,0
has_type,1823,0,0,0,0,0,0,1,0
large_enum,267,1556,0,0,0,0,0,0.146462,0
many_required,827,996,0,0,0,0,0,0.453648,0
many_properties,1268,555,0,0,0,0,0,0.695557,0
deep_schema,338,1485,0,0,0,0,0,0.185409,0
