feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_type,has_maxLength,has_type,22,343,0.060274,5,1,22,343,0.227273,0.00291545,77.9545,0.224357,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,351,0.0383562,3,3,14,351,0.214286,0.00854701,25.0714,0.205739,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,351,0.0383562,3,3,14,351,0.214286,0.00854701,25.0714,0.205739,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,347,0.0493151,3,3,18,347,0.166667,0.00864553,19.2778,0.158021,true
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,360,0.0136986,1,5,5,360,0.2,0.0138889,14.4,0.186111,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,5,360,0.0136986,1,5,5,360,0.2,0.0138889,14.4,0.186111,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,5,360,0.0136986,1,5,5,360,0.2,0.0138889,14.4,0.186111,true
has_maxItems__AND__has_type,has_maxItems,has_type,5,360,0.0136986,1,5,5,360,0.2,0.0138889,14.4,0.186111,true
has_ref__AND__has_required,has_ref,has_required,5,360,0.0136986,1,5,5,360,0.2,0.0138889,14.4,0.186111,true
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,6,359,0.0164384,1,5,6,359,0.166667,0.0139276,11.9667,0.152739,true
has_anyOf__AND__has_items,has_anyOf,has_items,7,358,0.0191781,1,5,7,358,0.142857,0.0139665,10.2286,0.128891,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,358,0.0191781,1,5,7,358,0.142857,0.0139665,10.2286,0.128891,true
has_properties__AND__has_ref,has_properties,has_ref,7,358,0.0191781,1,5,7,358,0.142857,0.0139665,10.2286,0.128891,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,8,357,0.0219178,1,5,8,357,0.125,0.0140056,8.925,0.110994,true
has_minItems__AND__has_required,has_minItems,has_required,9,356,0.0246575,1,5,9,356,0.111111,0.0140449,7.91111,0.0970662,true
has_defs__AND__has_ref,has_defs,has_ref,10,355,0.0273973,1,5,10,355,0.1,0.0140845,7.1,0.0859155,true
has_maxLength__AND__has_required,has_maxLength,has_required,10,355,0.0273973,1,5,10,355,0.1,0.0140845,7.1,0.0859155,true
has_ref__AND__has_type,has_ref,has_type,10,355,0.0273973,1,5,10,355,0.1,0.0140845,7.1,0.0859155,true
has_minItems__AND__has_properties,has_minItems,has_properties,12,353,0.0328767,1,5,12,353,0.0833333,0.0141643,5.88333,0.069169,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,268,0.265753,4,2,97,268,0.0412371,0.00746269,5.52577,0.0337744,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,267,0.268493,4,2,98,267,0.0408163,0.00749064,5.44898,0.0333257,true
has_defs__AND__has_items,has_defs,has_items,13,352,0.0356164,1,5,13,352,0.0769231,0.0142045,5.41538,0.0627185,true
has_anyOf__AND__has_required,has_anyOf,has_required,14,351,0.0383562,1,5,14,351,0.0714286,0.014245,5.01429,0.0571836,true
has_items__AND__has_minItems,has_items,has_minItems,14,351,0.0383562,1,5,14,351,0.0714286,0.014245,5.01429,0.0571836,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,256,0.29863,4,2,109,256,0.0366972,0.0078125,4.69725,0.0288847,true
has_minItems__AND__has_type,has_minItems,has_type,15,350,0.0410959,1,5,15,350,0.0666667,0.0142857,4.66667,0.052381,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,254,0.30411,4,2,111,254,0.036036,0.00787402,4.57658,0.028162,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,349,0.0438356,1,5,16,349,0.0625,0.0143266,4.3625,0.0481734,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,349,0.0438356,1,5,16,349,0.0625,0.0143266,4.3625,0.0481734,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,250,0.315068,4,2,115,250,0.0347826,0.008,4.34783,0.0267826,true
has_defs__AND__has_required,has_defs,has_required,18,347,0.0493151,1,5,18,347,0.0555556,0.0144092,3.85556,0.0411463,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,344,0.0575342,1,5,21,344,0.047619,0.0145349,3.27619,0.0330842,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,343,0.060274,1,5,22,343,0.0454545,0.0145773,3.11818,0.0308773,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,24,341,0.0657534,1,5,24,341,0.0416667,0.0146628,2.84167,0.0270039,true
has_anyOf__AND__has_type,has_anyOf,has_type,26,339,0.0712329,1,5,26,339,0.0384615,0.0147493,2.60769,0.0237123,true
has_defs__AND__has_properties,has_defs,has_properties,26,339,0.0712329,1,5,26,339,0.0384615,0.0147493,2.60769,0.0237123,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,305,0.164384,2,4,60,305,0.0333333,0.0131148,2.54167,0.0202186,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,27,338,0.0739726,1,5,27,338,0.037037,0.0147929,2.5037,0.0222441,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,28,337,0.0767123,1,5,28,337,0.0357143,0.0148368,2.40714,0.0208775,true
has_minLength__AND__has_type,has_minLength,has_type,28,337,0.0767123,1,5,28,337,0.0357143,0.0148368,2.40714,0.0208775,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,302,0.172603,2,4,63,302,0.031746,0.013245,2.39683,0.018501,true
has_defs__AND__has_type,has_defs,has_type,31,334,0.0849315,1,5,31,334,0.0322581,0.0149701,2.15484,0.017288,true
has_items__AND__has_required,has_items,has_required,33,332,0.090411,1,5,33,332,0.030303,0.0150602,2.01212,0.0152428,true
has_oneOf__AND__has_required,has_oneOf,has_required,37,328,0.10137,1,5,37,328,0.027027,0.0152439,1.77297,0.0117831,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,43,322,0.117808,1,5,43,322,0.0232558,0.015528,1.49767,0.00772786,true
has_items__AND__has_properties,has_items,has_properties,45,320,0.123288,1,5,45,320,0.0222222,0.015625,1.42222,0.00659722,true
has_oneOf__AND__has_type,has_oneOf,has_type,46,319,0.126027,1,5,46,319,0.0217391,0.015674,1.38696,0.00606515,true
has_items__AND__has_type,has_items,has_type,67,298,0.183562,1,5,67,298,0.0149254,0.0167785,0.889552,-0.00185315,true
has_properties__AND__has_required,has_properties,has_required,139,226,0.380822,2,4,139,226,0.0143885,0.0176991,0.81295,-0.00331063,true
has_required__AND__has_type,has_required,has_type,139,226,0.380822,2,4,139,226,0.0143885,0.0176991,0.81295,-0.00331063,true
has_properties__AND__has_type,has_properties,has_type,261,104,0.715068,4,2,261,104,0.0153257,0.0192308,0.796935,-0.0039051,true
