feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,119,1704,180,800,214,2726,0.841121,0.29347,2.86612,0.547651,0.065277,0.333333,true
has_not,20,1803,27,953,33,2907,0.818182,0.327829,2.49576,0.490352,0.0109709,0.333333,true
has_allOf,42,1781,57,923,75,2865,0.76,0.322164,2.35905,0.437836,0.0230389,0.333333,true
has_oneOf,182,1641,176,804,312,2628,0.564103,0.305936,1.84386,0.258166,0.0998354,0.333333,true
has_anyOf,92,1731,87,893,150,2790,0.58,0.320072,1.81209,0.259928,0.0504663,0.333333,true
has_minProperties,29,1794,27,953,49,2891,0.55102,0.329644,1.67156,0.221377,0.0159078,0.333333,true
deep_schema,338,1485,260,720,552,2388,0.471014,0.301508,1.5622,0.169507,0.185409,0.333333,true
large_enum,267,1556,192,788,404,2536,0.475248,0.310726,1.52948,0.164522,0.146462,0.333333,true
has_ref,442,1381,326,654,749,2191,0.435247,0.298494,1.45814,0.136753,0.242457,0.333333,true
has_pattern,512,1311,319,661,741,2199,0.430499,0.300591,1.43218,0.129908,0.280856,0.333333,true
has_enum,808,1015,489,491,1220,1720,0.40082,0.285465,1.40409,0.115355,0.443225,0.333333,true
has_defs,471,1352,334,646,802,2138,0.416459,0.302152,1.37831,0.114307,0.258365,0.333333,true
has_required,1365,458,795,185,2227,713,0.356982,0.259467,1.37583,0.0975154,0.748766,0.333333,true
has_minLength,313,1510,192,788,443,2497,0.433409,0.315579,1.37338,0.11783,0.171695,0.333333,true
has_const,19,1804,15,965,34,2906,0.441176,0.332072,1.32856,0.109105,0.0104224,0.333333,true
has_minItems,227,1596,159,821,378,2562,0.420635,0.320453,1.31263,0.100182,0.12452,0.333333,true
has_maxLength,252,1571,131,849,323,2617,0.405573,0.324417,1.25016,0.0811555,0.138234,0.333333,true
many_properties,1268,555,727,253,2055,885,0.353771,0.285876,1.2375,0.0678956,0.695557,0.333333,true
has_items,990,833,575,405,1622,1318,0.354501,0.307284,1.15366,0.0472169,0.543061,0.333333,true
has_maximum,111,1712,63,917,168,2772,0.375,0.330808,1.13359,0.0441919,0.0608886,0.333333,true
has_additionalProperties,852,971,480,500,1367,1573,0.351134,0.317864,1.10467,0.0332699,0.467361,0.333333,true
many_required,827,996,470,510,1365,1575,0.344322,0.32381,1.06335,0.0205128,0.453648,0.333333,true
has_boolean_schema,825,998,452,528,1315,1625,0.343726,0.324923,1.05787,0.0188032,0.452551,0.333333,true
has_default,485,1338,264,716,761,2179,0.346912,0.328591,1.05576,0.0183209,0.266045,0.333333,true
has_maxItems,90,1733,43,937,125,2815,0.344,0.33286,1.03347,0.0111403,0.0493692,0.333333,true
has_minimum,302,1521,124,856,486,2454,0.255144,0.348818,0.731453,-0.0936742,0.165661,0.333333,true
has_properties,1819,4,980,0,2934,6,0.334015,0,inf,0.334015,0.997806,0.333333,false
has_type,1823,0,980,0,2940,0,0.333333,0,inf,0.333333,1,0.333333,false
has_if_then_else,4,1819,7,973,7,2933,1,0.331742,3.01439,0.668258,0.00219419,0.333333,false
has_propertyNames,3,1820,4,976,4,2936,1,0.332425,3.0082,0.667575,0.00164564,0.333333,false
has_contains,1,1822,1,979,1,2939,1,0.333106,3.00204,0.666894,0.000548546,0.333333,false
has_maxProperties,10,1813,9,971,13,2927,0.692308,0.331739,2.0869,0.360569,0.00548546,0.333333,false
has_exclusiveMinimum,9,1814,5,975,15,2925,0.333333,0.333333,1,0,0.00493692,0.333333,false
has_content,2,1821,0,980,3,2937,0,0.333674,0,-0.333674,0.00109709,0.333333,false
has_multipleOf,9,1814,0,980,16,2924,0,0.335157,0,-0.335157,0.00493692,0.333333,false
